Date,7-day-moving-avg,prior_year_7d_moving_avg,Delta Change
05-04-22 0:00,4377194.429,3812979.857,0.147972083
07-08-22 0:00,4030916.143,3509339.857,0.148625185
05-11-22 0:00,4126440.286,3589159,0.149695593
26-06-22 0:00,4288895.143,3729195.571,0.150085873
30-10-22 0:00,4237830,3680784.857,0.151338686
23-08-22 0:00,4075301.429,3528996.143,0.154804727
30-06-22 0:00,4163094.571,3604750.571,0.154891161
09-04-22 0:00,4435713.143,3839038.571,0.155422917
11-09-22 0:00,4098299.429,3542895.571,0.156765518
02-11-22 0:00,4150017.429,3584642.857,0.157721311
06-07-22 0:00,4103221.571,3543142.286,0.158074173
11-08-22 0:00,4042735.286,3489881.714,0.158416135
05-07-22 0:00,4191282.429,3611146.857,0.160651337
04-10-22 0:00,4174187.571,3595822.571,0.160843587
13-11-22 0:00,3985177.143,3425085.857,0.163526203
09-09-22 0:00,4460164.714,3828654.571,0.164943097
10-09-22 0:00,4361740.429,3743624.857,0.165111515
19-01-22 0:00,3625040.143,3107948,0.166377347
28-04-22 0:00,4197633.857,3596506,0.167142181
07-09-22 0:00,4523195,3875320.857,0.167179484
17-04-22 0:00,4077904.571,3492011.714,0.167780897
19-10-22 0:00,4147989.714,3548962.286,0.16878946
26-09-22 0:00,4170592.857,3566947.571,0.169233013
07-05-22 0:00,3879228.143,3314210.571,0.170483305
01-11-22 0:00,4084185.143,3488038.571,0.170911691
09-05-22 0:00,4196424.857,3581968,0.171541694
23-03-22 0:00,3623928,3084930.429,0.174719522
08-09-22 0:00,4579443,3897077.571,0.175096702
18-02-22 0:00,3970085,3378002,0.175276095
08-05-22 0:00,4187132.857,3559401.714,0.176358611
17-10-22 0:00,4143913.714,3511970.143,0.179939904
16-10-22 0:00,3943359.714,3332500.429,0.183303588
12-11-22 0:00,3868390.286,3267358.429,0.18395039
28-05-22 0:00,3934390.571,3321393.429,0.184560232
30-05-22 0:00,3971867,3350959.857,0.185292325
04-04-22 0:00,4382294.143,3695484,0.185851202
17-03-22 0:00,4110830.571,3456306.143,0.18937108
20-01-22 0:00,3908632.429,3282369.429,0.190796013
07-04-22 0:00,4491920.143,3756391.714,0.195807169
21-08-22 0:00,4261748.429,3553888,0.199179161
06-05-22 0:00,3810803.571,3172145.571,0.201333131
19-03-22 0:00,3752115.286,3121611,0.201980415
29-05-22 0:00,3844745.286,3193858.429,0.203793271
29-10-22 0:00,4119368.571,3416839.143,0.20560799
23-07-22 0:00,4175659,3456615.429,0.208019546
02-04-22 0:00,3801079,3146226.857,0.208138883
19-02-22 0:00,4010058.429,3308311.143,0.212116471
13-04-22 0:00,4325249.571,3566479.857,0.212750315
25-01-22 0:00,3604407.429,2967126.714,0.214780418
14-07-22 0:00,4125664,3392872.571,0.21597965
15-09-22 0:00,4210514,3462282.286,0.21610939
06-11-22 0:00,4026765.857,3308757.286,0.21700249
11-11-22 0:00,4022451.429,3304231.429,0.217363709
16-04-22 0:00,3943901,3236950.143,0.218400292
15-07-22 0:00,4111527.143,3369468.143,0.220230306
22-08-22 0:00,4209607.571,3439739,0.223815985
09-11-22 0:00,3843014,3137055.857,0.225038436
20-02-22 0:00,4012141.286,3253677.857,0.233109565
09-02-22 0:00,3946096.857,3196146.857,0.234641909
24-03-22 0:00,4023859.143,3255931.714,0.235854894
30-04-22 0:00,4041509.714,3261960.571,0.23898178
18-08-22 0:00,4321539.143,3485075.143,0.240013189
16-06-22 0:00,4612238.286,3717223.714,0.240775009
19-08-22 0:00,4236833.429,3414230.143,0.240933754
27-10-22 0:00,3976667.429,3196755,0.243970035
01-02-22 0:00,4006990.571,3216739.857,0.245668207
06-09-22 0:00,4873532.286,3906230.571,0.247630471
16-07-22 0:00,4106006.857,3290013.429,0.248021306
17-02-22 0:00,4162486.571,3330463.286,0.249822086
18-03-22 0:00,3847831.571,3078526.571,0.249893896
17-08-22 0:00,4350258.857,3479078.286,0.250405567
12-09-22 0:00,4092707.571,3272314.143,0.250707417
30-03-22 0:00,3742234.143,2990911.714,0.251201808
27-01-22 0:00,3489955,2786113.714,0.252624752
06-02-22 0:00,4095993.857,3258904.571,0.256862166
19-07-22 0:00,4295999.429,3416717,0.257347164
13-09-22 0:00,4082617.429,3241559.429,0.259460923
14-09-22 0:00,4212831.429,3340125.714,0.261279302
07-02-22 0:00,3842294.286,3039810.857,0.263991237
04-02-22 0:00,4011980.571,3171695.143,0.264932596
03-09-22 0:00,4598878.143,3606826.143,0.275048467
22-07-22 0:00,4080371,3197917.429,0.275946328
31-01-22 0:00,4317769.857,3378929,0.277851608
04-09-22 0:00,4739198.571,3702258.571,0.280083084
08-02-22 0:00,3911840.857,3052498,0.281521186
05-09-22 0:00,4840029.429,3768098.143,0.284475416
10-02-22 0:00,3866466.286,2997001.571,0.290111531
29-08-22 0:00,4381032.143,3395658.286,0.290186401
07-11-22 0:00,4156790.857,3221763.143,0.290222364
28-10-22 0:00,4133592.286,3202749.143,0.290638792
26-01-22 0:00,3604854.286,2792316.429,0.290990609
17-07-22 0:00,4182922.286,3235257.429,0.292917914
11-04-22 0:00,4249081.571,3286139,0.293031601
12-04-22 0:00,4372595.143,3381334.286,0.293156717
29-04-22 0:00,4283710.143,3306267.143,0.295633401
16-02-22 0:00,4191107.429,3230523.286,0.297346299
28-08-22 0:00,4267561.857,3275176,0.303002299
01-04-22 0:00,3784139.143,2900062,0.30484767
30-08-22 0:00,4418537.571,3378877.857,0.307693784
18-01-22 0:00,3609618,2748356,0.313373522
02-09-22 0:00,4637262.429,3529159,0.313985125
05-02-22 0:00,4081225.429,3105411.714,0.314230062
15-04-22 0:00,4265606.429,3244962.571,0.314531781
10-11-22 0:00,3878563.857,2939021.571,0.319678595
10-04-22 0:00,4528706,3418824.143,0.324638475
02-05-22 0:00,3930065.429,2963220.143,0.326281963
01-05-22 0:00,3921644.714,2955233.286,0.327016968
16-03-22 0:00,4273398.857,3218363.143,0.327817486
21-07-22 0:00,4293536.857,3233412.571,0.327865456
14-04-22 0:00,4330626.857,3260360.571,0.328266234
06-04-22 0:00,4770540.857,3576166.143,0.333981886
20-08-22 0:00,4332849.571,3228484.429,0.342069217
12-02-22 0:00,4059485.857,3018037.714,0.345074595
12-03-22 0:00,4094993.857,3042078.429,0.346117121
15-02-22 0:00,4266243.857,3160777.857,0.34974492
03-02-22 0:00,4135637.286,3060960.143,0.351091518
